combo_id,combo_num,streak_length,streak_mode,entry_timing,hold_period,use_ibs,use_rsi,n_instances,n_symbols,win_rate,win_rate_ci_lower,win_rate_ci_upper,mean_return,median_return,std_return,percentile_5_return,percentile_95_return,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,median_time_to_breakeven,median_time_to_1pct,p_breakeven_by_3d,p_hit_1pct_by_3d,p_hit_2pct_by_7d,p_value,is_significant_bonferroni,is_significant_fdr
S2_AT_OPEN_H3,38,2,AT_LEAST,OPEN_T1,3,False,False,5593,20,0.5589129268728769,0.5458644193730362,0.5718805631941237,0.00884344015333856,0.005486406812970862,0.17881954462741495,-0.07757909864760286,0.09601963187206511,0.03862071285355375,0.025324956775628633,-0.02565515104552189,-0.019305993690851748,1.5053785021583415,1.0,1.0,0.7219738959413553,0.5821562667620239,0.6070087609511889,6.343682333025452e-19,True,True
S2_AT_OPEN_H4,39,2,AT_LEAST,OPEN_T1,4,False,False,5592,20,0.5541845493562232,0.5411240260690964,0.5671706789291602,0.012261641129045115,0.005790689673855182,0.25775452323252934,-0.08895490285362108,0.11054031025436288,0.04780558041454109,0.02953285391205424,-0.03072323627950319,-0.023431495168370196,1.556007315753851,1.0,1.0,0.7221030042918455,0.5822603719599427,0.6071173104434907,2.7880559157849006e-16,True,True
S2_AT_OPEN_H5,40,2,AT_LEAST,OPEN_T1,5,False,False,5591,20,0.5614380253979611,0.5483934607466321,0.5743982224594921,0.016253112418502875,0.007716510116436657,0.3172641777201133,-0.0957046843199805,0.11972570469653679,0.05592033796827094,0.03282172373081465,-0.03519743100516059,-0.02616801748222746,1.5887619173135674,1.0,1.0,0.7220532999463424,0.5823645143981399,0.6072258987658737,2.0410513002155728e-20,True,True
S2_AT_OPEN_H6,41,2,AT_LEAST,OPEN_T1,6,False,False,5591,20,0.558397424432123,0.5453453370787974,0.5713693195931081,0.01901295794763044,0.007878293941863563,0.347910345675287,-0.10166114093528401,0.12768982323030373,0.06338839518843786,0.035723587116937315,-0.03937958474645646,-0.028742323585142514,1.6096765772559807,1.0,1.0,0.7220532999463424,0.5823645143981399,0.6072258987658737,1.2787091523979831e-18,True,True
S2_AT_OPEN_H7,42,2,AT_LEAST,OPEN_T1,7,False,False,5590,20,0.5601073345259392,0.5470582468201032,0.5730738672104708,0.0196739233506421,0.008158380989910136,0.34030418976651416,-0.11151194825693923,0.13985096746577547,0.06823999000743615,0.03917525682144561,-0.04287743431423065,-0.031101957687441464,1.5915129041382006,1.0,1.0,0.7221824686940966,0.5824686940966011,0.6073345259391771,1.2898059881498868e-19,True,True
S2_EX_CLOS_H1,43,2,EXACT,CLOSE_T,1,False,False,2959,20,0.5126732004055424,0.4946587576933548,0.5306547803553037,0.0010192887735518837,0.0005089220395051529,0.028913461839090566,-0.04102147228915188,0.04692711089532165,0.016120401575359926,0.01089789149490644,-0.014695342406220778,-0.010616578195181683,1.0969735260156916,1.0,2.0,0.7151064548834065,0.5559310577897939,0.5836431226765799,0.08685019570734857,False,False
S2_EX_CLOS_H2,44,2,EXACT,CLOSE_T,2,False,False,2952,20,0.5443766937669376,0.5263649686007165,0.562273073611646,0.008459260036038543,0.002761302585151338,0.26805913271769155,-0.05609703529765761,0.0701449967551488,0.0307911187612906,0.01743771220036858,-0.022734487503920053,-0.015638015695945397,1.354379277561518,1.0,2.0,0.7168021680216802,0.5572493224932249,0.5850271002710027,7.669276900327633e-07,True,True
S2_EX_CLOS_H3,45,2,EXACT,CLOSE_T,3,False,False,2950,20,0.5383050847457627,0.5202769968297779,0.5562335414474623,0.00982097117510319,0.0034555557885473237,0.2571944038541267,-0.07186604082315148,0.08534853292382172,0.03837440788219258,0.022800124116589257,-0.029092529754340176,-0.02015220765371018,1.3190467864510025,1.0,2.0,0.7172881355932204,0.5576271186440678,0.5854237288135593,1.7029212512218617e-05,True,True
S2_EX_CLOS_H4,46,2,EXACT,CLOSE_T,4,False,False,2949,20,0.558833502882333,0.540847834952207,0.5766660935262238,0.01179246450853773,0.005120000000000042,0.24186791848896955,-0.08086005348756359,0.10413038722210347,0.044825964589287434,0.02700884275278741,-0.03353113006000522,-0.02331887201735364,1.3368462234666616,1.0,2.0,0.7175313665649372,0.5578162088843676,0.5856222448287555,8.93448250989723e-11,True,True
S2_EX_CLOS_H5,47,2,EXACT,CLOSE_T,5,False,False,2948,20,0.5457937584803256,0.5277725727033482,0.5636957543618422,0.011654315368904185,0.005270409312426174,0.24303005685977017,-0.08780567024236587,0.11835858661841328,0.050751919118923315,0.029957234562497742,-0.03756235573605449,-0.02613347973354751,1.3511378113649228,1.0,2.0,0.7174355495251018,0.5580054274084125,0.585820895522388,3.567020748114113e-07,True,True
S2_EX_CLOS_H6,48,2,EXACT,CLOSE_T,6,False,False,2947,20,0.5568374618255854,0.5388398964785774,0.5746870430994924,0.013884452002059079,0.007159719803398053,0.2530837670345495,-0.09750331743416103,0.12612069099150672,0.05560146440575914,0.03315784612542721,-0.04152602568477029,-0.02847519902020827,1.3389546311953235,1.0,2.0,0.7173396674584323,0.5581947743467933,0.5860196810315575,3.6600694951443595e-10,True,True
S2_EX_CLOS_H7,49,2,EXACT,CLOSE_T,7,False,False,2947,20,0.5578554462164913,0.5398607906931242,0.5756994672057466,0.0179945005933042,0.007279811340100418,0.3382590553440306,-0.10430948416504147,0.1323676090470469,0.06436605803610633,0.03590741942461606,-0.0456256429796858,-0.030877999957409658,1.4107430346738226,1.0,2.0,0.7173396674584323,0.5581947743467933,0.5860196810315575,1.8064515252083346e-10,True,True
S2_EX_OPEN_H1,50,2,EXACT,OPEN_T1,1,False,False,2952,20,0.5345528455284553,0.5165258822809936,0.5524899979148917,0.007349601456146936,0.002036177090257976,0.26629040502858975,-0.054000000340082836,0.061384750595287835,0.02226247346078361,0.01235549973919901,-0.009392765582171583,-0.009240661850517645,2.370172370003573,1.0,1.0,0.7140921409214093,0.57079945799458,0.5907859078590786,9.287935931113827e-05,True,True
S2_EX_OPEN_H2,51,2,EXACT,OPEN_T1,2,False,False,2950,20,0.5474576271186441,0.5294460122167177,0.5653458051179163,0.008710069616304102,0.0036820939949689544,0.25546644024952475,-0.06910484261335549,0.07572142803347909,0.03197805967823524,0.01930901628591531,-0.01788609179934305,-0.01484753419900791,1.7878729482652989,1.0,1.0,0.7145762711864406,0.5711864406779661,0.5911864406779661,1.370026053209274e-07,True,True
S2_EX_OPEN_H3,52,2,EXACT,OPEN_T1,3,False,False,2949,20,0.5578162088843676,0.5398275604689149,0.5756544268830877,0.010611676310501049,0.004967798594847783,0.23990104186582573,-0.07574628140758001,0.09511754496503803,0.039484470520853646,0.02418343856130184,-0.023758128387776713,-0.019408142586193382,1.6619352280783177,1.0,1.0,0.7148185825703628,0.5713801288572398,0.5913869108172262,1.8313968631565097e-10,True,True
S2_EX_OPEN_H4,53,2,EXACT,OPEN_T1,4,False,False,2948,20,0.5403663500678426,0.5223353168681223,0.5582923195819344,0.010479766119088255,0.00433269959590837,0.2411232929834329,-0.08702245377355068,0.10741619668874061,0.04602646382014535,0.027988938958571755,-0.02862819229369305,-0.023011978735350554,1.607732103653825,1.0,1.0,0.7150610583446404,0.5715739484396201,0.5915875169606513,6.291426097729727e-06,True,True
S2_EX_OPEN_H5,54,2,EXACT,OPEN_T1,5,False,False,2947,20,0.5517475398710553,0.533736566647938,0.5696237813261255,0.012715587200401581,0.0063842571729007345,0.25122433062263466,-0.09427073237286632,0.11879382872739315,0.05136290276573379,0.03136827640361215,-0.0330723146752878,-0.02607535160661115,1.5530483206279186,1.0,1.0,0.7149643705463183,0.5717678995588734,0.5917882592466915,1.0426714151500683e-08,True,True
S2_EX_OPEN_H6,55,2,EXACT,OPEN_T1,6,False,False,2947,20,0.5510688836104513,0.5330562661682394,0.5689485362586231,0.016881125291215316,0.006822925028094466,0.3392642636304652,-0.10219405634827541,0.12566058014786466,0.06051308939427626,0.03401882188916015,-0.03749336113431574,-0.02848260966107514,1.6139681149816079,1.0,1.0,0.7149643705463183,0.5717678995588734,0.5917882592466915,1.593033839518662e-08,True,True
S2_EX_OPEN_H7,56,2,EXACT,OPEN_T1,7,False,False,2946,20,0.5539714867617108,0.5359630744712768,0.5718393292982912,0.01936988956331166,0.007691123170122352,0.3352250884501878,-0.10591827427427321,0.13791564365484865,0.06539492624034883,0.036507907021777586,-0.040444430690827204,-0.030516476765891844,1.616908066780636,1.0,1.0,0.7152070604209098,0.5719619823489477,0.5919891378139851,2.5192276850643812e-09,True,True
S3_AT_CLOS_H1,57,3,AT_LEAST,CLOSE_T,1,False,False,2647,20,0.5583679637325274,0.5393794938460897,0.5771872661054721,0.00826583903631343,0.002457108371411422,0.27280269011077063,-0.0425455099855405,0.04792580564471236,0.024375644830575645,0.013155301896844983,-0.009973012349775788,-0.01060070671378089,2.4441606984597444,1.0,2.0,0.7604835663014734,0.6029467321496034,0.6218360408009067,1.029335846478881e-09,True,True
S3_AT_CLOS_H2,58,3,AT_LEAST,CLOSE_T,2,False,False,2645,20,0.5595463137996219,0.5405542563738692,0.5783656581989882,0.010373849446416237,0.003985285101164936,0.26140375909236196,-0.05847104549790307,0.07325190874867411,0.03439606277769213,0.02001962708537774,-0.018249318662950223,-0.015894200436787215,1.8847861343735006,1.0,2.0,0.7610586011342155,0.6034026465028356,0.6223062381852552,4.905604682091034e-10,True,True
S3_AT_CLOS_H3,59,3,AT_LEAST,CLOSE_T,3,False,False,2644,20,0.5552193645990923,0.5362109695616512,0.5740675363614535,0.012645179632858392,0.004483129417722135,0.24550838516634704,-0.06398216367859716,0.0911250727509351,0.04266272460169579,0.026054991440598686,-0.02414985841386766,-0.02049669984079589,1.7665828043611809,1.0,2.0,0.7613464447806354,0.6036308623298033,0.6225416036308623,7.357539683599846e-09,True,True
S3_AT_CLOS_H4,60,3,AT_LEAST,CLOSE_T,4,False,False,2644,20,0.5665658093797277,0.5475939065370633,0.5853445663565423,0.013177877097653652,0.005444646008337254,0.24699232513663022,-0.08077110076644446,0.10535712476308608,0.0495942608444529,0.030161964565615575,-0.029352221918164768,-0.024596405534073745,1.6896254390118672,1.0,2.0,0.7613464447806354,0.6036308623298033,0.6225416036308623,4.070848423098937e-12,True,True
S3_AT_CLOS_H5,61,3,AT_LEAST,CLOSE_T,5,False,False,2644,20,0.569213313161876,0.5502513693000347,0.5879744292200212,0.020580402982383117,0.008016033235586813,0.3650677501663607,-0.09106902495334707,0.12325751820640701,0.0609364140439785,0.03386712935228725,-0.033901554342269685,-0.027433931062175048,1.7974519229639208,1.0,2.0,0.7613464447806354,0.6036308623298033,0.6225416036308623,5.820956520709239e-13,True,True
